,unique,name,transportation,aid,population,education,graduation,reduced_lunch,homeless,multilingual,tax,budget_cuts ,gender,percent_of _low_income_students,funding,salary
Essex,5370,Verona Boro,"134,571","2,601,365",2163.5,"2,552,035",96.2,0,0,29,1,1,0,1,1,0
Essex,5630,West Essex Regional,"887,876","2,669,840",1674,"1,999,840",97.7,44,1,39,0,1,1,2,1,0
Essex,5680,West Orange Town,"3,033,009","34,288,620",6915,"6,078,649",88.4,13,0,18,0,1,1,40,1,1
Gloucester,860,Clayton Boro,"447,521","18,260,805",1477,"1,548,952",92.4,42,0,35,0,1,1,45,0,0
Gloucester,870,Clearview Regional,"440,789","12,316,180",2110,"1,418,100",97.8,76,0,92,1,1,0,12,0,0
Gloucester,1100,Deptford Twp,"1,775,095","30,146,522",4176,"4,533,691",85.5,25,0,0,1,1,0,30,0,0
Gloucester,1180,East Greenwich Twp,"593,363","7,464,867",1224,"1,331,006",66.4,3,1,0,0,0,1,6,1,1
Gloucester,1330,Elk Twp,"148,655","2,463,680",347,"287,900",93.6,91,21,201,1,1,1,30,0,0
Gloucester,1590,Franklin Twp,"836,192","8,391,093",,"795,294",76.2,37,2,10,1,0,1,18,1,0
Gloucester,1715,Gateway Regional,"531,485","10,762,475",875,"968,979",95.2,73,0,107,0,1,0,22,0,1
Gloucester,1730,Glassboro,"61,234","14,735,121",1916,"2,058,196",89.2,26,10,43,0,0,1,48,0,0
Gloucester,1775,Gloucester Co Vocational,0,"14,583,105",535,"1,831,866",98,69,0,59,0,0,0,10,1,0
Gloucester,1830,Greenwich Twp,"272,578","805,726",1641,"482,636",90.6,0,0,1,0,1,1,33,1,1
Gloucester,2070,Harrison Twp,"153,456","5,430,972",423,"800,303",72,18,0,0,1,1,1,11,0,0
Gloucester,2440,Kingsway Regional,"1,518,262","22,706,118",1366,"3,046,397",95.2,11,0,12,1,1,1,10,1,0
Gloucester,2750,Logan Twp,"314,926","1,764,097",2941.5,"793,756",93.6,796,97,183,0,1,0,19,0,0
Gloucester,2990,Mantua Twp,"92,254","5,032,560",820,"731,840",93.6,76,0,265,1,1,1,18,0,0
Gloucester,3280,Monroe Twp,"2,345,346","54,624,992",1248,"6,238,245",90.3,88,0,0,1,1,1,29,0,0
Gloucester,3490,National Park Boro,"19,060","3,096,968",5657,"268,768",92.3,185,1,213,0,1,0,44,0,0
Gloucester,3580,Newfield Boro,"132,194","2,302,636",287,"130,013",95,108,1,150,1,1,,,,
Gloucester,4020,Paulsboro Boro,"186,731","20,164,108",1271,"1,343,840",87.3,202,0,100,0,0,1,49,0,0
